,FLIGHT_COUNT,AGE,GENDER,avg_discount,Points_Sum,AVG_INTERVAL
14741,22,42.0,0,0.711556739,13654,32.47619048
14744,24,45.0,0,0.763835578,14633,27.7826087
14746,20,32.0,0,0.641783318,11944,28.57894737
14747,17,43.0,0,0.7763308040000001,13786,38.25
14748,19,45.0,0,0.6680677829999999,12392,33.94444444
14749,16,40.0,1,0.640351795,10875,43.26666667
14751,25,42.0,0,0.7185502159999999,14267,29.29166667
14756,21,47.0,0,0.733762713,13537,34.75
14761,19,48.0,0,0.750181075,14125,32.77777778
14763,20,56.0,0,0.7478964909999999,14130,30.68421053
14767,3,48.0,0,0.71,13497,176.5
14769,22,44.0,0,0.709588367,13213,25.23809524
14780,15,47.0,0,0.7751723970000001,14658,43.35714286
14781,13,56.0,0,0.6971289140000001,13979,48.16666667
14785,20,50.0,0,0.8127037909999999,13476,31.26315789
14788,9,41.0,0,0.795457682,13613,54.875
14793,18,35.0,0,0.713472357,13548,34.58823529
14795,27,45.0,0,0.731257368,12961,27.03846154
14816,21,39.0,1,0.62022799,13696,27.1
14820,28,32.0,0,0.6579278510000001,12129,21.51851852
14822,14,47.0,0,0.7247148840000001,12690,41.92307692
14823,11,48.0,0,0.831735537,12413,30.5
14827,3,52.0,0,0.706589562,13497,96.5
14831,18,45.0,0,0.7059333329999999,12042,32.05882353
14834,19,46.0,0,0.8391292109999999,14060,39.05555556
14835,25,54.0,0,0.6746285740000001,13871,22.70833333
14837,12,57.0,0,0.869209204,15010,55.09090909
14838,19,64.0,0,0.682454087,11256,36.72222222
14843,13,36.0,0,0.774685965,13540,47.83333333
14844,15,48.0,0,0.870343615,15289,49.28571429
14845,15,34.0,0,0.8611994000000001,14815,19.35714286
14850,17,38.0,0,0.627367948,11475,39.8125
14853,11,40.0,0,0.92192151,14866,66.4
14855,16,42.0,0,0.7633148040000001,15025,30.53333333
14857,21,55.0,0,0.709364813,14645,35.4
14859,9,34.0,0,0.671826094,12483,65.375
14860,12,48.0,0,0.7269010640000001,13762,61.81818182
14861,7,37.0,0,0.77545819,15288,80.0
14862,14,48.0,0,0.679700216,14888,35.0
14863,13,33.0,1,0.732399963,14988,43.66666667
14864,9,29.0,1,0.734360875,12761,49.5
14865,10,51.0,0,0.7086044770000001,14060,68.11111111
14869,23,39.0,1,0.658020009,12096,27.0
14870,22,39.0,0,0.715681859,14176,32.04761905
14874,19,42.0,1,0.6588799439999999,12717,35.83333333
14876,24,29.0,0,0.621424144,13064,23.0
14881,12,53.0,0,0.6728039109999999,14391,49.18181818
14884,16,54.0,0,0.637123043,11175,45.86666667
14886,10,39.0,0,0.76588581,15323,60.44444444
14900,17,47.0,1,0.7032567940000001,12725,44.8125
14902,9,32.0,0,0.664831479,14584,45.625
14911,14,48.0,0,0.739902495,13515,42.61538462
14917,13,45.0,0,0.747224478,13043,53.08333333
14918,21,46.0,0,0.6881822870000001,12925,29.4
14922,14,44.0,0,0.6819092459999999,12069,53.46153846
14930,17,46.0,0,0.6426644429999999,11664,34.75
14935,13,40.0,0,0.76735256,13053,42.91666667
14944,14,34.0,0,0.619599411,11186,48.69230769
14951,3,48.0,0,0.626026028,9696,41.0
14959,17,37.0,0,0.671829427,11551,39.6875
14970,13,65.0,0,0.7233411890000001,13813,36.75
14993,19,43.0,0,0.8040332020000001,12027,37.5
15007,14,32.0,0,0.6809034159999999,12633,49.0
15009,19,38.0,0,0.8143546740000001,14537,29.33333333
15010,19,40.0,0,0.699735929,10748,38.55555556
15012,14,35.0,0,0.624047656,11557,37.0
15018,12,38.0,0,0.7107367059999999,11775,56.45454545
15020,12,31.0,0,0.7435092959999999,14992,52.18181818
15024,19,41.0,0,0.848558631,13913,33.72222222
15034,22,52.0,0,0.7517223609999999,13795,29.76190476
15036,10,41.0,0,0.897723963,15631,72.0
15037,16,58.0,0,0.6324039610000001,11912,41.2
15038,2,45.0,0,0.65,9304,8.0
15042,2,39.0,1,0.65,9304,30.0
15048,8,42.0,0,0.7120134379999999,10041,64.14285714
15049,23,50.0,0,0.619713049,12172,30.36363636
15052,21,43.0,0,0.791490962,14042,21.7
15058,11,50.0,0,0.80435225,15088,62.3
15059,15,44.0,0,0.761734107,11735,37.14285714
15066,18,51.0,0,0.702044289,13439,39.70588235
15067,14,26.0,1,0.876488217,14597,31.92307692
15071,23,41.0,0,0.640425154,12172,28.45454545
15074,15,28.0,0,0.620148449,13804,31.35714286
15085,12,53.0,0,0.77664741,10960,59.18181818
15088,9,37.0,0,0.686381736,13294,50.125
15090,11,45.0,0,0.7599554279999999,15206,40.4
15091,17,43.0,0,0.845798261,14253,40.6875
15097,7,45.0,0,0.749431705,15063,43.0
15099,9,50.0,0,0.64970364,13129,74.75
15103,15,60.0,0,0.7488384290000001,14185,46.0
15114,22,32.0,0,0.629158656,12486,27.42857143
15118,13,31.0,1,0.7209765090000001,13771,56.66666667
15119,23,39.0,0,0.7976240370000001,14165,30.77272727
15121,17,46.0,0,0.701266664,14057,41.25
15123,11,43.0,0,0.689942912,12780,36.5
15124,15,43.0,0,0.6400133410000001,10348,51.5
15137,8,49.0,1,0.658772799,12300,32.57142857
